condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D0,0,Z0-south,51,1,0.9992691586642033,0.0007308413357967058,0.00028033476750981886,0.0017975341309631509,0.010019783189784753,1.712450090591648e-09,0.021790339513437923,0,0
D0,0,Z0-south,52,2,0.9986872033681607,0.0013127966318392525,0.0005034790677573743,0.003228309185312713,0.017995165238113286,5.523658694344874e-09,0.021790339513437923,0,0
D0,0,Z0-south,53,3,1.0019010640332668,0.0019010640332668416,0.0007297378382548532,0.00467946874216971,0.02608434281372241,1.1603733037920623e-08,0.021790339513437923,0,0
D0,0,Z0-south,54,4,0.9996680791476482,0.0003319208523517858,0.00012733163516839995,0.0008164713495994861,0.00455116361743249,3.532942990550168e-10,0.021790339513437923,0,0
D0,0,Z0-south,55,0,0.9998876675340984,0.00011233246590158785,4.3095651604581856e-05,0.0002763379543676285,0.0015403599392179825,4.0469785285903484e-11,0.021790339513437923,0,0
D0,0,Z0-south,56,1,1.000501524354454,0.0005015243544539416,0.00019243937646538773,0.0012339793658697998,0.006878441943250216,8.069597608293152e-10,0.021790339513437923,0,0
D0,0,Z0-south,57,2,0.9993827416600372,0.0006172583399628451,0.00023677425013736425,0.0015182242323382277,0.008462860628570568,1.221611005875356e-09,0.021790339513437923,0,0
D0,0,Z0-south,58,3,1.0009366680876037,0.0009366680876037314,0.0003594511921286012,0.0023049354389423856,0.012848170865004538,2.8154242928869427e-09,0.021790339513437923,0,0
D0,0,Z0-south,59,4,1.0008134916415647,0.0008134916415647453,0.00031217095757681755,0.0020017505256313384,0.011158154928649694,2.1234839860034475e-09,0.021790339513437923,0,0
D0,0,Z0-south,60,0,1.0020942732599623,0.0020942732599622538,0.0008039456601828059,0.005155354787637323,0.028737042590279132,1.408372016569161e-08,0.021790339513437923,0,0
D0,0,Z0-south,61,1,1.0005154965566079,0.0005154965566078751,0.00019780139995654276,0.001268362736182883,0.007070101750569032,8.525556150386667e-10,0.021790339513437923,0,0
